slank,formal
woooiiiii,woy
woyyy,woy
woooyy,woy
yaa,ya
yah,ya
yeee,ya
yha,ya
yaaa,ya
yaaaaaa,ya
yakk,ya
yahhh,ya
yahh,ya
ea,ya
yaaa ,ya
yaaaa,ya
yak,ya
yach,ya
yaakkk,ya
yaahhh,ya
yaah,ya
yaak,ya
yahbh,ya
yachhh,ya
yuppss,ya
yup,ya
yeeee,ya
yaakk,ya
yee,ya
yeuh,ya
yh,ya
yhaaa,ya
yappp,ya
yaaah,ya
yo,ya
yya,ya
yep,ya
yam,ya
yyaaa,ya
yahhhh,ya
yooow,ya
yap,ya
ysh,ya
yaahh,ya
yapp,ya
yawlah,ya allah
yawloh,ya allah
yaolohh,ya allah
yaampuuuunnnn,ya ampun
yaaampunnn,ya ampun
yaudh,ya sudah
yaoloh,yaallah
yakaliiiii,yakali
yakinn,yakin
yg,yang
yng,yang
yanckh,yang
yaaang,yang
yq,yang
yaang,yang
yoiii,yoi
yoooiii,yoi
yoiiu,yoi
yokkk,yuk
yu,yuk
yuuuk,yuk
yuwkkk,yuk
yuuuuk,yuk
yukkkk,yuk
kuyy,yuk
yukk,yuk
yuuk,yuk
kuy,yuk
nyok,yuk
yuuks,yuk
yok,yuk
yuu,yuk
yuuu,yuk
yokk,yuk
yuks,yuk
yukss,yuk
yooookkk,yuk
kuyyy,yuk
yuukk,yuk
ayukk,yuk
yuuuukkk,yuk
yukkk,yuk
yook,yuk
yoookkkk,yuk
zama,zaman
